id;nama_instalasi;url_instalasi;lat_instalasi;long_instalasi;threshold_instalasi;url_ews_gis
1;why and dally;engender;9385.31;4036.4;32137.59;highlight bus unnecessarily
2;uh-huh;sociable underneath forgo;25326.28;19435.85;13459.69;wholly
3;enlightened yowza shakily;because meanwhile idle;50.2;861.81;17273.13;fooey
4;tired;um phooey creature;18828.49;890.39;24982.44;incidentally emphasize
5;traffic pant;override warming;25580.66;21357.49;26781.7;noon mid powerless
6;freely following diligently;championship authorized;3266.07;14944.94;19891.44;chainstay meanwhile within
7;delicious;bah;32236.68;27626.97;11841.78;following than
8;oddly;SUV;26528.54;25734.73;15982.98;via testing yahoo
9;language cafe that;once;11524.72;16115.9;14323.14;because oh
10;uh-huh;blink excepting;16677.48;7862.12;13859.12;cripple close
